2026-03-24 00:32:55.202 | ERROR    | src.collectors.price_collector:_get_daily_kline:190 | 获取日线数据失败：Remote end closed connection without response
2026-03-24 00:32:55.460 | ERROR    | src.collectors.price_collector:_get_daily_kline:190 | 获取日线数据失败：Remote end closed connection without response
2026-03-24 00:32:55.705 | ERROR    | src.collectors.price_collector:_get_daily_kline:190 | 获取日线数据失败：Remote end closed connection without response
2026-03-24 00:37:16.402 | ERROR    | src.collectors.price_collector:_get_daily_kline:190 | 获取日线数据失败：Remote end closed connection without response
2026-03-24 00:37:16.760 | ERROR    | src.collectors.price_collector:_get_daily_kline:190 | 获取日线数据失败：Remote end closed connection without response
2026-03-24 00:37:17.174 | ERROR    | src.collectors.price_collector:_get_daily_kline:190 | 获取日线数据失败：Remote end closed connection without response
2026-03-24 00:37:17.543 | ERROR    | src.collectors.price_collector:_get_daily_kline:190 | 获取日线数据失败：Remote end closed connection without response
2026-03-24 00:37:17.930 | ERROR    | src.collectors.price_collector:_get_daily_kline:190 | 获取日线数据失败：Remote end closed connection without response
2026-03-24 00:37:18.304 | ERROR    | src.collectors.price_collector:_get_daily_kline:190 | 获取日线数据失败：Remote end closed connection without response
2026-03-24 00:37:54.548 | ERROR    | src.collectors.price_collector:_get_daily_kline:190 | 获取日线数据失败：Remote end closed connection without response
2026-03-24 00:37:54.946 | ERROR    | src.collectors.price_collector:_get_daily_kline:190 | 获取日线数据失败：Remote end closed connection without response
2026-03-24 00:37:55.312 | ERROR    | src.collectors.price_collector:_get_daily_kline:190 | 获取日线数据失败：Remote end closed connection without response
2026-03-24 00:37:55.684 | ERROR    | src.collectors.price_collector:_get_daily_kline:190 | 获取日线数据失败：Remote end closed connection without response
2026-03-24 00:37:56.058 | ERROR    | src.collectors.price_collector:_get_daily_kline:190 | 获取日线数据失败：Remote end closed connection without response
2026-03-24 00:37:56.446 | ERROR    | src.collectors.price_collector:_get_daily_kline:190 | 获取日线数据失败：Remote end closed connection without response
2026-03-24 09:35:47.947 | ERROR    | src.collectors.price_collector:get_stock_info:511 | 获取股票信息失败：('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-24 09:35:54.255 | ERROR    | src.collectors.price_collector:get_stock_info:511 | 获取股票信息失败：('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-24 09:36:10.124 | ERROR    | src.collectors.price_collector:get_stock_info:511 | 获取股票信息失败：('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-24 10:19:25.318 | ERROR    | src.collectors.price_collector:get_stock_info:511 | 获取股票信息失败：('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-24 10:19:31.377 | ERROR    | src.collectors.price_collector:get_stock_info:511 | 获取股票信息失败：('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-24 10:19:46.378 | ERROR    | src.collectors.price_collector:get_stock_info:511 | 获取股票信息失败：('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-24 10:19:56.886 | ERROR    | __main__:run_once:378 | 执行监控任务失败：'gbk' codec can't encode character '\U0001f680' in position 1: illegal multibyte sequence
2026-03-24 10:24:55.430 | ERROR    | __main__:run_once:378 | 执行监控任务失败：'gbk' codec can't encode character '\U0001f680' in position 1: illegal multibyte sequence
2026-03-24 10:29:58.935 | ERROR    | __main__:run_once:378 | 执行监控任务失败：'gbk' codec can't encode character '\U0001f680' in position 1: illegal multibyte sequence
2026-03-24 10:35:01.376 | ERROR    | __main__:run_once:378 | 执行监控任务失败：'gbk' codec can't encode character '\U0001f680' in position 1: illegal multibyte sequence
2026-03-24 10:40:05.932 | ERROR    | __main__:run_once:378 | 执行监控任务失败：'gbk' codec can't encode character '\U0001f680' in position 1: illegal multibyte sequence
2026-03-24 10:45:01.093 | ERROR    | __main__:run_once:378 | 执行监控任务失败：'gbk' codec can't encode character '\U0001f680' in position 1: illegal multibyte sequence
2026-03-24 10:50:20.065 | ERROR    | __main__:run_once:378 | 执行监控任务失败：'gbk' codec can't encode character '\U0001f680' in position 1: illegal multibyte sequence
2026-03-24 10:55:08.029 | ERROR    | __main__:run_once:378 | 执行监控任务失败：'gbk' codec can't encode character '\U0001f680' in position 1: illegal multibyte sequence
2026-03-24 11:00:16.160 | ERROR    | __main__:run_once:378 | 执行监控任务失败：'gbk' codec can't encode character '\U0001f680' in position 1: illegal multibyte sequence
2026-03-24 11:04:57.069 | ERROR    | __main__:run_once:378 | 执行监控任务失败：'gbk' codec can't encode character '\U0001f680' in position 1: illegal multibyte sequence
2026-03-24 11:10:02.419 | ERROR    | __main__:run_once:378 | 执行监控任务失败：'gbk' codec can't encode character '\U0001f680' in position 1: illegal multibyte sequence
2026-03-24 11:17:26.639 | ERROR    | __main__:run_once:378 | 执行监控任务失败：'gbk' codec can't encode character '\U0001f680' in position 1: illegal multibyte sequence
2026-03-24 11:20:04.108 | ERROR    | __main__:run_once:378 | 执行监控任务失败：'gbk' codec can't encode character '\U0001f680' in position 1: illegal multibyte sequence
2026-03-24 11:24:58.520 | ERROR    | __main__:run_once:378 | 执行监控任务失败：'gbk' codec can't encode character '\U0001f680' in position 1: illegal multibyte sequence
2026-03-24 11:30:07.567 | ERROR    | __main__:run_once:378 | 执行监控任务失败：'gbk' codec can't encode character '\U0001f680' in position 1: illegal multibyte sequence
2026-03-24 11:30:56.537 | ERROR    | src.collectors.price_collector:get_stock_info:511 | 获取股票信息失败：('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
