code,name,market,type,latest_price,change_pct,volume,amount,market_cap,pe_ratio,pb_ratio
000737,北方铜业,SZ,A 股,0,0,0,0,0,0,0
000738,航发控制,SZ,A 股,0,0,0,0,0,0,0
000739,普洛药业,SZ,A 股,0,0,0,0,0,0,0
000750,国海证券,SZ,A 股,0,0,0,0,0,0,0
000751,锌业股份,SZ,A 股,0,0,0,0,0,0,0
000752,ST西发,SZ,A 股,0,0,0,0,0,0,0
000753,漳州发展,SZ,A 股,0,0,0,0,0,0,0
000755,山西高速,SZ,A 股,0,0,0,0,0,0,0
000756,新华制药,SZ,A 股,0,0,0,0,0,0,0
000757,浩物股份,SZ,A 股,0,0,0,0,0,0,0
000758,中色股份,SZ,A 股,0,0,0,0,0,0,0
000759,中百集团,SZ,A 股,0,0,0,0,0,0,0
000761,本钢板材,SZ,A 股,0,0,0,0,0,0,0
000762,西藏矿业,SZ,A 股,0,0,0,0,0,0,0
000766,通化金马,SZ,A 股,0,0,0,0,0,0,0
000767,晋控电力,SZ,A 股,0,0,0,0,0,0,0
000768,中航西飞,SZ,A 股,0,0,0,0,0,0,0
000776,广发证券,SZ,A 股,0,0,0,0,0,0,0
000777,中核科技,SZ,A 股,0,0,0,0,0,0,0
000778,新兴铸管,SZ,A 股,0,0,0,0,0,0,0
000779,甘咨询,SZ,A 股,0,0,0,0,0,0,0
000782,恒申新材,SZ,A 股,0,0,0,0,0,0,0
000783,长江证券,SZ,A 股,0,0,0,0,0,0,0
000785,居然智家,SZ,A 股,0,0,0,0,0,0,0
000786,北新建材,SZ,A 股,0,0,0,0,0,0,0
000788,北大医药,SZ,A 股,0,0,0,0,0,0,0
000789,万年青,SZ,A 股,0,0,0,0,0,0,0
000790,华神科技,SZ,A 股,0,0,0,0,0,0,0
000791,甘肃能源,SZ,A 股,0,0,0,0,0,0,0
000792,盐湖股份,SZ,A 股,0,0,0,0,0,0,0
000793,*ST华闻,SZ,A 股,0,0,0,0,0,0,0
000795,英洛华,SZ,A 股,0,0,0,0,0,0,0
000796,凯撒旅业,SZ,A 股,0,0,0,0,0,0,0
000797,中国武夷,SZ,A 股,0,0,0,0,0,0,0
000798,中水渔业,SZ,A 股,0,0,0,0,0,0,0
000799,酒鬼酒,SZ,A 股,0,0,0,0,0,0,0
000800,一汽解放,SZ,A 股,0,0,0,0,0,0,0
000801,四川九洲,SZ,A 股,0,0,0,0,0,0,0
000802,北京文化,SZ,A 股,0,0,0,0,0,0,0
000803,山高环能,SZ,A 股,0,0,0,0,0,0,0
000807,云铝股份,SZ,A 股,0,0,0,0,0,0,0
000809,和展能源,SZ,A 股,0,0,0,0,0,0,0
000810,创维数字,SZ,A 股,0,0,0,0,0,0,0
000811,冰轮环境,SZ,A 股,0,0,0,0,0,0,0
000812,陕西金叶,SZ,A 股,0,0,0,0,0,0,0
000813,德展健康,SZ,A 股,0,0,0,0,0,0,0
000815,美利云,SZ,A 股,0,0,0,0,0,0,0
